Category,Type,Value
Spam,URL,http://order-processing.online/amazon-order-issue?id=251
Spam,URL,http://login-verify.info/account-security-alert?id=194
Spam,Email,paypal.security.center.140@account-limited.net
Spam,Email,important.update.53@service-notification.org
Spam,Email,youve.won.a.gift.147@claim-reward.club
Spam,URL,http://fast-cash.co/loan-approval-notice?id=207
Ham,Email,user105@example.com
Ham,URL,https://www.example.com/page1476
Ham,URL,https://www.example.com/page1928
Spam,URL,http://get-your-cash.net/prize-winner?id=118
Spam,Email,urgent.notice.123.121@suspiciousdomain.com
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=34
Spam,URL,http://verify-account.support/confirm-details?id=121
Ham,URL,https://www.example.com/page1228
Ham,Email,user996@example.com
Spam,Email,confirm.your.details.38@verify-account.support
Ham,Email,user659@example.com
Ham,Email,user619@example.com
Ham,URL,https://www.example.com/page794
Spam,URL,http://career-opportunities.net/job-offer-urgent?id=49
Spam,Email,free.money.offer.111@limited-time.biz
Spam,Email,youve.won.a.gift.93@claim-reward.club
Ham,URL,https://www.example.com/page1323
Spam,URL,http://limited-time.biz/free-money-offer?id=82
Ham,URL,https://www.example.com/page1335
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=239
Spam,URL,http://delivery-info.online/package-on-hold?id=188
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=88
Spam,Email,important.update.145@service-notification.org
Ham,Email,user1570@example.com
Spam,Email,unauthorized.access.101@security-team.net
Spam,Email,virus.detected.177@system-scan.info
Ham,URL,https://www.example.com/page2339
Ham,URL,https://www.example.com/page824
Ham,Email,user2629@example.com
Ham,URL,https://www.example.com/page903
Ham,URL,https://www.example.com/page1656
Ham,URL,https://www.example.com/page1633
Ham,URL,https://www.example.com/page1846
Ham,Email,user1286@example.com
Spam,Email,account.security.alert.270@login-verify.info
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=0
Ham,Email,user1447@example.com
Spam,URL,http://service-notification.org/important-update?id=115
Spam,Email,important.update.184@service-notification.org
Spam,URL,http://account-limited.net/paypal-security-center?id=3
Spam,Email,virus.detected.66@system-scan.info
Spam,Email,bitcoin.investment.offer.178@crypto-wealth.biz
Spam,URL,http://online-banking.support/bank-of-america-alert?id=127
Ham,URL,https://www.example.com/page1397
Ham,Email,user1846@example.com
Ham,Email,user701@example.com
Ham,URL,https://www.example.com/page2599
Ham,URL,https://www.example.com/page1348
Spam,URL,http://claim-reward.club/you-won-a-gift?id=46
Spam,Email,virus.detected.154@system-scan.info
Spam,URL,http://order-processing.online/amazon-order-issue?id=212
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=230
Spam,Email,confirm.your.details.25@verify-account.support
Ham,URL,https://www.example.com/page1390
Spam,URL,http://security-team.net/unauthorized-access?id=204
Ham,Email,user1113@example.com
Ham,URL,https://www.example.com/page1333
Ham,URL,https://www.example.com/page2023
Spam,Email,virus.detected.37@system-scan.info
Ham,URL,https://www.example.com/page492
Spam,Email,amazon.order.issue.52@order-processing.online
Spam,URL,http://find-love.club/dating-match?id=204
Ham,URL,https://www.example.com/page2515
Spam,Email,unauthorized.access.157@security-team.net
Spam,URL,http://service-notification.org/important-update?id=106
Ham,Email,user460@example.com
Ham,URL,https://www.example.com/page1374
Spam,URL,http://login-verify.info/account-security-alert?id=18
Ham,Email,user117@example.com
Ham,Email,user375@example.com
Spam,Email,your.package.on.hold.203@delivery-info.online
Spam,URL,http://service-notification.org/important-update?id=131
Spam,Email,amazon.order.issue.33@order-processing.online
Ham,URL,https://www.example.com/page2610
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=139
Ham,Email,user1076@example.com
Ham,Email,user1952@example.com
Spam,Email,youve.won.a.gift.261@claim-reward.club
Spam,Email,dating.match.for.you.80@find-love.club
Ham,Email,user2096@example.com
Spam,URL,http://career-opportunities.net/job-offer-urgent?id=186
Spam,Email,bitcoin.investment.offer.87@crypto-wealth.biz
Spam,Email,dating.match.for.you.20@find-love.club
Ham,Email,user1687@example.com
Spam,Email,bitcoin.investment.offer.189@crypto-wealth.biz
Ham,Email,user1835@example.com
Ham,URL,https://www.example.com/page1172
Ham,Email,user867@example.com
Spam,Email,your.package.on.hold.35@delivery-info.online
Ham,Email,user1242@example.com
Ham,URL,https://www.example.com/page800
Spam,Email,bank.of.america.alert.151@online-banking.support
Ham,URL,https://www.example.com/page541
Ham,Email,user875@example.com
Spam,Email,amazon.order.issue.118@order-processing.online
Ham,Email,user1703@example.com
Spam,Email,bitcoin.investment.offer.29@crypto-wealth.biz
Ham,URL,https://www.example.com/page1862
Ham,URL,https://www.example.com/page2400
Ham,Email,user2503@example.com
Ham,URL,https://www.example.com/page2681
Ham,URL,https://www.example.com/page2344
Spam,URL,http://account-limited.net/paypal-security-center?id=44
Ham,URL,https://www.example.com/page1050
Ham,URL,https://www.example.com/page1506
Ham,Email,user236@example.com
Ham,URL,https://www.example.com/page1839
Ham,URL,https://www.example.com/page1504
Ham,Email,user1013@example.com
Ham,Email,user2309@example.com
Ham,Email,user1335@example.com
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=39
Spam,Email,important.update.180@service-notification.org
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=208
Ham,URL,https://www.example.com/page801
Ham,URL,https://www.example.com/page2014
Spam,Email,your.package.on.hold.9@delivery-info.online
Ham,Email,user2634@example.com
Spam,Email,virus.detected.26@system-scan.info
Ham,Email,user508@example.com
Ham,Email,user258@example.com
Ham,URL,https://www.example.com/page2368
Spam,URL,http://order-processing.online/amazon-order-issue?id=35
Ham,URL,https://www.example.com/page54
Spam,Email,loan.approval.notice.39@fast-cash.co
Ham,Email,user414@example.com
Spam,URL,http://limited-time.biz/free-money-offer?id=37
Ham,URL,https://www.example.com/page292
Ham,URL,https://www.example.com/page2492
Spam,URL,http://career-opportunities.net/job-offer-urgent?id=217
Spam,Email,urgent.notice.123.224@suspiciousdomain.com
Spam,Email,invoice.payment.due.162@secure-billing.co
Ham,Email,user2410@example.com
Spam,URL,http://service-notification.org/important-update?id=239
Ham,Email,user498@example.com
Ham,Email,user1104@example.com
Ham,URL,https://www.example.com/page219
Ham,Email,user1643@example.com
Ham,URL,https://www.example.com/page0
Ham,Email,user2557@example.com
Spam,URL,http://security-team.net/unauthorized-access?id=172
Ham,Email,user1742@example.com
Ham,URL,https://www.example.com/page2569
Ham,URL,https://www.example.com/page633
Spam,Email,job.offer.urgent.267@career-opportunities.net
Ham,URL,https://www.example.com/page2056
Ham,URL,https://www.example.com/page693
Spam,Email,virus.detected.222@system-scan.info
Spam,URL,http://limited-time.biz/free-money-offer?id=268
Ham,Email,user2598@example.com
Ham,Email,user1464@example.com
Spam,Email,unauthorized.access.160@security-team.net
Ham,Email,user1518@example.com
Ham,URL,https://www.example.com/page909
Spam,URL,http://account-limited.net/paypal-security-center?id=232
Ham,Email,user914@example.com
Ham,Email,user1603@example.com
Spam,URL,http://secure-billing.co/invoice-payment-due?id=214
Ham,Email,user812@example.com
Spam,Email,paypal.security.center.82@account-limited.net
Spam,URL,http://secure-billing.co/invoice-payment-due?id=258
Ham,URL,https://www.example.com/page274
Ham,URL,https://www.example.com/page167
Spam,Email,virus.detected.195@system-scan.info
Ham,URL,https://www.example.com/page2055
Ham,Email,user167@example.com
Ham,Email,user2002@example.com
Ham,Email,user1031@example.com
Ham,Email,user275@example.com
Ham,Email,user442@example.com
Ham,URL,https://www.example.com/page870
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=245
Spam,URL,http://service-notification.org/important-update?id=258
Spam,URL,http://order-processing.online/amazon-order-issue?id=136
Spam,Email,job.offer.urgent.226@career-opportunities.net
Spam,Email,inheritance.claim.49@legal-funds.info
Ham,URL,https://www.example.com/page97
Ham,Email,user1689@example.com
Spam,Email,prize.winner.now.63@get-your-cash.net
Ham,URL,https://www.example.com/page2383
Ham,URL,https://www.example.com/page4
Spam,URL,http://online-banking.support/bank-of-america-alert?id=114
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=226
Spam,Email,virus.detected.46@system-scan.info
Spam,URL,http://legal-funds.info/inheritance-claim?id=187
Ham,URL,https://www.example.com/page2684
Spam,URL,http://login-verify.info/account-security-alert?id=72
Spam,URL,http://account-limited.net/paypal-security-center?id=208
Spam,Email,dating.match.for.you.168@find-love.club
Spam,Email,amazon.order.issue.55@order-processing.online
Ham,Email,user1711@example.com
Ham,Email,user1663@example.com
Ham,Email,user605@example.com
Spam,URL,http://find-love.club/dating-match?id=168
Ham,URL,https://www.example.com/page1861
Spam,Email,account.security.alert.68@login-verify.info
Spam,Email,dating.match.for.you.189@find-love.club
Ham,Email,user1429@example.com
Ham,Email,user1473@example.com
Spam,Email,free.money.offer.141@limited-time.biz
Ham,URL,https://www.example.com/page2597
Ham,Email,user2560@example.com
Ham,URL,https://www.example.com/page1978
Spam,URL,http://order-processing.online/amazon-order-issue?id=256
Spam,Email,free.money.offer.80@limited-time.biz
Spam,URL,http://online-banking.support/bank-of-america-alert?id=103
Ham,URL,https://www.example.com/page2065
Ham,URL,https://www.example.com/page1151
Spam,URL,http://delivery-info.online/package-on-hold?id=77
Ham,Email,user2376@example.com
Ham,Email,user1698@example.com
Spam,Email,virus.detected.254@system-scan.info
Spam,URL,http://online-banking.support/bank-of-america-alert?id=273
Ham,Email,user1@example.com
Ham,Email,user2408@example.com
Spam,URL,http://limited-time.biz/free-money-offer?id=29
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=187
Spam,Email,lottery.winner.notification.1@lucky-draw.org
Ham,Email,user2123@example.com
Ham,Email,user2723@example.com
Spam,URL,http://service-notification.org/important-update?id=137
Ham,URL,https://www.example.com/page2060
Spam,Email,amazon.order.issue.151@order-processing.online
Spam,URL,http://legal-funds.info/inheritance-claim?id=248
Spam,URL,http://login-verify.info/account-security-alert?id=207
Ham,URL,https://www.example.com/page392
Ham,Email,user723@example.com
Spam,Email,bitcoin.investment.offer.46@crypto-wealth.biz
Spam,Email,invoice.payment.due.256@secure-billing.co
Spam,Email,inheritance.claim.241@legal-funds.info
Spam,URL,http://claim-reward.club/you-won-a-gift?id=97
Ham,URL,https://www.example.com/page1429
Spam,Email,confirm.your.details.115@verify-account.support
Ham,Email,user1022@example.com
Spam,URL,http://get-your-cash.net/prize-winner?id=255
Spam,Email,inheritance.claim.240@legal-funds.info
Spam,URL,http://find-love.club/dating-match?id=155
Ham,Email,user1533@example.com
Ham,Email,user1530@example.com
Spam,Email,dating.match.for.you.176@find-love.club
Spam,URL,http://delivery-info.online/package-on-hold?id=203
Ham,Email,user14@example.com
Ham,URL,https://www.example.com/page947
Spam,Email,important.update.240@service-notification.org
Spam,Email,virus.detected.206@system-scan.info
Ham,Email,user627@example.com
Ham,URL,https://www.example.com/page1000
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=216
Spam,Email,dating.match.for.you.9@find-love.club
Spam,URL,http://limited-time.biz/free-money-offer?id=95
Ham,URL,https://www.example.com/page2219
Spam,Email,paypal.security.center.158@account-limited.net
Ham,Email,user1365@example.com
Ham,URL,https://www.example.com/page1552
Ham,URL,https://www.example.com/page2612
Spam,URL,http://delivery-info.online/package-on-hold?id=162
Spam,Email,lottery.winner.notification.272@lucky-draw.org
Spam,Email,prize.winner.now.114@get-your-cash.net
Spam,Email,inheritance.claim.94@legal-funds.info
Ham,URL,https://www.example.com/page1013
Spam,Email,job.offer.urgent.0@career-opportunities.net
Spam,URL,http://service-notification.org/important-update?id=116
Spam,Email,unauthorized.access.129@security-team.net
Spam,URL,http://verify-account.support/confirm-details?id=3
Ham,Email,user2388@example.com
Spam,URL,http://claim-reward.club/you-won-a-gift?id=137
Ham,URL,https://www.example.com/page2446
Spam,URL,http://get-your-cash.net/prize-winner?id=243
Ham,Email,user1163@example.com
Ham,URL,https://www.example.com/page92
Spam,Email,important.update.23@service-notification.org
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=199
Spam,Email,important.update.12@service-notification.org
Spam,Email,inheritance.claim.214@legal-funds.info
Ham,URL,https://www.example.com/page2559
Ham,Email,user32@example.com
Spam,Email,bitcoin.investment.offer.126@crypto-wealth.biz
Spam,URL,http://find-love.club/dating-match?id=186
Spam,Email,dating.match.for.you.151@find-love.club
Spam,URL,http://security-team.net/unauthorized-access?id=262
Spam,URL,http://login-verify.info/account-security-alert?id=20
Ham,Email,user1765@example.com
Spam,Email,amazon.order.issue.240@order-processing.online
Spam,Email,bitcoin.investment.offer.188@crypto-wealth.biz
Spam,Email,important.update.59@service-notification.org
Spam,Email,amazon.order.issue.137@order-processing.online
Spam,URL,http://secure-billing.co/invoice-payment-due?id=117
Spam,Email,important.update.192@service-notification.org
Ham,Email,user1450@example.com
Ham,Email,user1922@example.com
Ham,URL,https://www.example.com/page1008
Spam,URL,http://login-verify.info/account-security-alert?id=243
Ham,Email,user1032@example.com
Ham,URL,https://www.example.com/page2436
Ham,URL,https://www.example.com/page1291
Ham,Email,user1164@example.com
Ham,Email,user492@example.com
Ham,URL,https://www.example.com/page323
Spam,Email,your.package.on.hold.51@delivery-info.online
Ham,URL,https://www.example.com/page1406
Ham,Email,user522@example.com
Ham,Email,user2189@example.com
Spam,Email,prize.winner.now.219@get-your-cash.net
Ham,Email,user1230@example.com
Spam,URL,http://order-processing.online/amazon-order-issue?id=60
Ham,URL,https://www.example.com/page995
Spam,Email,youve.won.a.gift.111@claim-reward.club
Ham,Email,user2181@example.com
Spam,Email,free.money.offer.62@limited-time.biz
Ham,URL,https://www.example.com/page1868
Ham,URL,https://www.example.com/page1043
Ham,Email,user1494@example.com
Spam,URL,http://service-notification.org/important-update?id=182
Spam,URL,http://limited-time.biz/free-money-offer?id=238
Spam,URL,http://limited-time.biz/free-money-offer?id=250
Ham,URL,https://www.example.com/page420
Spam,URL,http://security-team.net/unauthorized-access?id=163
Spam,URL,http://get-your-cash.net/prize-winner?id=173
Ham,Email,user1750@example.com
Ham,URL,https://www.example.com/page2708
Ham,Email,user1173@example.com
Spam,URL,http://career-opportunities.net/job-offer-urgent?id=266
Ham,URL,https://www.example.com/page1665
Spam,URL,http://order-processing.online/amazon-order-issue?id=31
Spam,Email,free.money.offer.243@limited-time.biz
Spam,URL,http://delivery-info.online/package-on-hold?id=134
Ham,Email,user1773@example.com
Spam,Email,youve.won.a.gift.152@claim-reward.club
Spam,URL,http://account-limited.net/paypal-security-center?id=271
Spam,URL,http://online-banking.support/bank-of-america-alert?id=167
Spam,Email,loan.approval.notice.248@fast-cash.co
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=101
Ham,URL,https://www.example.com/page2329
Ham,Email,user235@example.com
Spam,Email,confirm.your.details.1@verify-account.support
Spam,URL,http://get-your-cash.net/prize-winner?id=66
Spam,Email,inheritance.claim.234@legal-funds.info
Ham,URL,https://www.example.com/page1011
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=8
Spam,Email,important.update.230@service-notification.org
Spam,URL,http://service-notification.org/important-update?id=208
Spam,URL,http://find-love.club/dating-match?id=163
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=221
Spam,Email,inheritance.claim.269@legal-funds.info
Ham,Email,user1097@example.com
Ham,Email,user2464@example.com
Ham,URL,https://www.example.com/page2477
Ham,Email,user1302@example.com
Spam,URL,http://limited-time.biz/free-money-offer?id=62
Spam,URL,http://lucky-draw.org/lottery-winner-notification?id=148
Ham,URL,https://www.example.com/page2604
Spam,URL,http://get-your-cash.net/prize-winner?id=239
Spam,URL,http://secure-billing.co/invoice-payment-due?id=67
Spam,URL,http://get-your-cash.net/prize-winner?id=204
Ham,Email,user1245@example.com
Spam,Email,bank.of.america.alert.40@online-banking.support
Ham,URL,https://www.example.com/page358
Spam,Email,youve.won.a.gift.103@claim-reward.club
Spam,Email,paypal.security.center.107@account-limited.net
Ham,URL,https://www.example.com/page1092
Ham,Email,user2028@example.com
Spam,URL,http://order-processing.online/amazon-order-issue?id=95
Spam,Email,important.update.242@service-notification.org
Spam,Email,urgent.notice.123.18@suspiciousdomain.com
Ham,URL,https://www.example.com/page1969
Spam,Email,bank.of.america.alert.253@online-banking.support
Spam,URL,http://secure-billing.co/invoice-payment-due?id=155
Ham,URL,https://www.example.com/page2371
Spam,URL,http://delivery-info.online/package-on-hold?id=1
Ham,URL,https://www.example.com/page2618
Spam,Email,confirm.your.details.135@verify-account.support
Spam,URL,http://service-notification.org/important-update?id=0
Spam,Email,unauthorized.access.130@security-team.net
Ham,URL,https://www.example.com/page112
Ham,Email,user1896@example.com
Ham,URL,https://www.example.com/page278
Spam,Email,bank.of.america.alert.92@online-banking.support
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=68
Spam,Email,confirm.your.details.230@verify-account.support
Ham,URL,https://www.example.com/page2713
Spam,URL,http://order-processing.online/amazon-order-issue?id=58
Ham,Email,user1891@example.com
Ham,URL,https://www.example.com/page1820
Ham,URL,https://www.example.com/page2139
Ham,Email,user1872@example.com
Ham,URL,https://www.example.com/page2246
Spam,Email,important.update.134@service-notification.org
Spam,Email,urgent.notice.123.147@suspiciousdomain.com
Ham,URL,https://www.example.com/page724
Ham,Email,user428@example.com
Spam,Email,free.money.offer.194@limited-time.biz
Ham,Email,user721@example.com
Spam,Email,your.package.on.hold.260@delivery-info.online
Spam,Email,lottery.winner.notification.130@lucky-draw.org
Ham,URL,https://www.example.com/page316
Ham,URL,https://www.example.com/page2682
Spam,Email,lottery.winner.notification.56@lucky-draw.org
Spam,URL,http://legal-funds.info/inheritance-claim?id=2
Spam,URL,http://system-scan.info/virus-detected?id=257
Ham,URL,https://www.example.com/page2748
Ham,URL,https://www.example.com/page1935
Ham,Email,user1282@example.com
Ham,Email,user872@example.com
Ham,URL,https://www.example.com/page64
Spam,URL,http://online-banking.support/bank-of-america-alert?id=176
Spam,URL,http://account-limited.net/paypal-security-center?id=112
Spam,Email,prize.winner.now.38@get-your-cash.net
Spam,Email,inheritance.claim.210@legal-funds.info
Spam,Email,virus.detected.160@system-scan.info
Spam,Email,invoice.payment.due.157@secure-billing.co
Spam,URL,http://crypto-wealth.biz/bitcoin-investment-offer?id=182
Spam,URL,http://get-your-cash.net/prize-winner?id=7
Ham,Email,user290@example.com
Ham,Email,user1343@example.com
Ham,URL,https://www.example.com/page780
Ham,Email,user2245@example.com
Spam,Email,unauthorized.access.269@security-team.net
Ham,URL,https://www.example.com/page2553
Spam,Email,invoice.payment.due.158@secure-billing.co
Spam,URL,http://fast-cash.co/loan-approval-notice?id=228
Spam,URL,http://login-verify.info/account-security-alert?id=7
Ham,Email,user2622@example.com
Ham,Email,user1797@example.com
Ham,URL,https://www.example.com/page622
Ham,URL,https://www.example.com/page1229
Ham,Email,user66@example.com
Ham,URL,https://www.example.com/page2410
Spam,Email,paypal.security.center.59@account-limited.net
Spam,Email,virus.detected.260@system-scan.info
Spam,URL,http://claim-reward.club/you-won-a-gift?id=236
Spam,Email,inheritance.claim.253@legal-funds.info
Ham,URL,https://www.example.com/page813
Ham,URL,https://www.example.com/page2001
Spam,URL,http://legal-funds.info/inheritance-claim?id=134
Spam,URL,http://account-limited.net/paypal-security-center?id=223
Ham,URL,https://www.example.com/page1718
Spam,URL,http://legal-funds.info/inheritance-claim?id=237
Spam,URL,http://delivery-info.online/package-on-hold?id=180
Spam,Email,job.offer.urgent.216@career-opportunities.net
Spam,Email,inheritance.claim.34@legal-funds.info
Spam,Email,inheritance.claim.95@legal-funds.info
Spam,Email,loan.approval.notice.108@fast-cash.co
Spam,Email,youve.won.a.gift.177@claim-reward.club
Ham,URL,https://www.example.com/page2097
Spam,Email,your.package.on.hold.97@delivery-info.online
Spam,URL,http://login-verify.info/account-security-alert?id=49
Ham,URL,https://www.example.com/page1342
Ham,Email,user2260@example.com
Ham,Email,user1648@example.com
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=242
Spam,Email,loan.approval.notice.204@fast-cash.co
Spam,Email,bitcoin.investment.offer.204@crypto-wealth.biz
Ham,Email,user285@example.com
Ham,URL,https://www.example.com/page1867
Ham,URL,https://www.example.com/page1009
Spam,URL,http://suspiciousdomain.com/urgent-notice?id=149
Ham,URL,https://www.example.com/page432
Ham,URL,https://www.example.com/page39
Ham,Email,user109@example.com
Ham,URL,https://www.example.com/page2670
Spam,Email,important.update.243@service-notification.org
Spam,URL,http://claim-reward.club/you-won-a-gift?id=267
Spam,Email,youve.won.a.gift.135@claim-reward.club
Spam,Email,confirm.your.details.156@verify-account.support
Spam,Email,dating.match.for.you.220@find-love.club
Ham,URL,https://www.example.com/page1593
Ham,Email,user26@example.com
Spam,URL,http://account-limited.net/paypal-security-center?id=191
